"X"	gene	Excel_gene	exTh17	YFPNeg	Th17	LN_Naive	LN_Memory
9923	Pnma2	'Pnma2	0	0	0	0	0
9924	4930578I07Rik	'4930578I07Rik	0	0	0	0	0
9925	Gm24258	'Gm24258	0	0	0	0	0
9926	CT030233.1	'CT030233.1	0	0	0	0	0
9927	Ebf2	'Ebf2	0.00568027	0	0	0	0
9928	Gm24981	'Gm24981	0	0	0	0	0
9929	Kctd9	'Kctd9	1.84335	2.2174	0.301043	0.517977	1.87888
9930	Gnrh1	'Gnrh1	0	0.419836	0	0	0.0377171
9931	Nefl	'Nefl	0.0608246	0.177546	0	0	0
9932	Stc1	'Stc1	0	0	0	0	0
9933	RP24-225O12.5	'RP24-225O12.5	0.277914	0.305643	0.208111	0.450592	0.270292
9934	Nkx2-6	'Nkx2-6	0	0	0	0	0
9935	Nkx3-1	'Nkx3-1	0	0	0	0	0
9936	RP24-225O12.7	'RP24-225O12.7	0	0	0	0	0
9937	RP24-67I21.6	'RP24-67I21.6	0	0	0	0	0
9938	Entpd4	'Entpd4	0	0	0	0	0
9939	Gm21451	'Gm21451	0	0	0	0	0
9940	RP24-175I14.9	'RP24-175I14.9	0	0	0	0	0
9941	Gm21685	'Gm21685	0	0	0	0	0
9942	Loxl2,mmu-mir-6950	'\Loxl2,mmu-mir-6950\	0	0	0	0	0
9943	RP23-103I12.13	'RP23-103I12.13	1.71142	2.22127	1.32157	0.706131	2.54353
9944	4930480K23Rik	'4930480K23Rik	0.417187	0	0.829644	0.85202	0.692232
9945	Tnfrsf10b	'Tnfrsf10b	4.5166	3.06302	1.05312	1.47701	0.418035
9946	Pebp4	'Pebp4	0	0	0	0	0
9947	Egr3	'Egr3	0.969945	1.09455	0.849048	1.42837	3.90146
9948	Bin3	'Bin3	27.6371	39.3946	47.6277	35.4803	32.3429
9949	Gm26908	'Gm26908	0.0346915	0.259832	0	0	0.0819163
9950	Gm9174	'Gm9174	0	0	0	0	0
9951	Mir320	'Mir320	0	0	0	0	0
9952	Phyhip	'Phyhip	0	0	0	0	0
9953	Lgi3	'Lgi3	0.00475167	0	0	0	0
9954	Reep4	'Reep4	6.26097	8.96781	28.713	9.91695	7.42837
9955	Hr	'Hr	0.0797941	0.528308	0	0	0
9956	Nudt18	'Nudt18	4.1466	3.67134	6.2744	3.7021	2.61258
9957	Dok2	'Dok2	78.2228	80.3448	105.974	61.6955	43.8997
9958	Gfra2	'Gfra2	0.0159486	1.31594	0.345508	0	0.114983
9959	Gm23735	'Gm23735	0	0	0	0	0
9960	Gm16549	'Gm16549	0.3226	0.936007	0	1.01822	0.198654
9961	Rcbtb2	'Rcbtb2	19.7119	33.1638	12.2786	25.6378	34.7271
9962	Lpar6	'Lpar6	27.6273	19.0302	24.0512	11.3385	11.8344
9963	Med4	'Med4	43.4378	45.2003	35.9384	53.6548	36.3315
9964	Sucla2	'Sucla2	31.2283	25.5936	47.6608	42.3005	29.2085
9965	Gm21750	'Gm21750	1.42793	1.65559	1.61871	2.73601	1.8745
9966	Htr2a	'Htr2a	0	0	0	0	0
9967	Esd	'Esd	156.365	240.748	273.14	180.29	208.91
9968	5031414D18Rik	'5031414D18Rik	1.55528	0.869716	1.97536	0	5.69527
9969	Lcp1	'Lcp1	385.673	336.701	321.202	305.815	405.301
9970	Cpb2	'Cpb2	0	0	0	0	0
9971	Zc3h13	'Zc3h13	12.0698	9.65765	12.1063	16.2512	8.5719
9972	Siah3	'Siah3	1.39977	6.23405	0	1.28795	0.776707
9973	4930564B18Rik	'4930564B18Rik	0	0	0	0	0
9974	Slc25a30	'Slc25a30	0.595703	5.00493	1.08195	2.68088	1.5883
9975	Tpt1	'Tpt1	3643.47	4334.02	4626.65	5696.26	2497.21
9976	Snora31	'Snora31	6.34672	2.06687	0	0	0
9977	Kctd4	'Kctd4	0.431518	0	0	0	0.640965
9978	Nufip1	'Nufip1	3.93584	4.8038	3.97654	5.39076	2.65426
9979	Tsc22d1	'Tsc22d1	13.9512	14.0964	15.3803	0.88892	3.54925
9980	Ccdc122	'Ccdc122	0.268769	0.407156	0	0	1.43163
9981	Enox1	'Enox1	0	0.29391	0	0	0
9982	n-R5s48	'n-R5s48	0	0	0	0	0
9983	Epsti1	'Epsti1	39.0355	61.3049	14.2617	56.0136	50.8149
9984	Gm19301	'Gm19301	0	0	0	0	0
9985	Gm26251	'Gm26251	0	0	0	0	0
9986	Vwa8	'Vwa8	1.20178	1.55624	1.46042	0.462111	1.22078
9987	Rgcc	'Rgcc	12.4832	7.93793	7.65094	4.50204	8.09388
9988	Mtrf1	'Mtrf1	0.202158	1.14765	0	1.35526	2.37375
9989	Kbtbd7	'Kbtbd7	1.59881	1.64494	1.50398	0.446347	0.747861
9990	Zbtbd6	'Zbtbd6	0.0261942	0	0	0	0.114106
9991	Elf1	'Elf1	158.805	212.31	214.202	135.094	179.702
9992	Sugt1	'Sugt1	87.6518	82.3446	153.784	89.6213	69.6472
9993	Mir759	'Mir759	0	0	0	0	0
9994	Gm6999	'Gm6999	0	0	0	0	0
9995	Olfm4	'Olfm4	0	0	0	0	0
9996	Gm24774	'Gm24774	0	0	0	0	0
9997	Pcdh17	'Pcdh17	0.0107152	0.0473706	0	0	0
9998	Gm25115	'Gm25115	0	0	0	0	0
9999	Gm23278	'Gm23278	0	0	0	0	0
10000	Tdrd3	'Tdrd3	3.60708	5.30057	3.02784	6.56942	5.91933
10001	Gm26405	'Gm26405	0	0	0	0	0
10002	Gm25886	'Gm25886	0	0	0	0	0
10003	Gm25415	'Gm25415	0	0	0	0	0
10004	Gm25495	'Gm25495	0	0	0	0	0
10005	Gm24680	'Gm24680	0	0	0	0	0
10006	4921530L21Rik	'4921530L21Rik	0	0	0	0	0
10007	Gm15515	'Gm15515	0	0	0	0	0
10008	Gm24043	'Gm24043	0	0	0	0	0
10009	Gm25133	'Gm25133	0	0	0	0	0
10010	Gm24770	'Gm24770	0	0	0	0	0
10011	Gm16331	'Gm16331	0	0	0	0	0
10012	Gm26139	'Gm26139	0	0	0	0	0
10013	Gm27034	'Gm27034	0	0	0	0	0
10014	Bora	'Bora	4.04238	7.11565	12.6135	2.4324	4.26966
10015	Pibf1	'Pibf1	2.46223	1.9672	3.79166	5.22673	2.95485
10016	Klf5	'Klf5	0.0295253	0.0470308	0	0	0
10017	4930517O19Rik	'4930517O19Rik	0	0	0	0	0.0661227
10018	Gm16260	'Gm16260	0	0	0	0	0
10019	Gm26367	'Gm26367	0	0	0	0	0
10020	Gm22401	'Gm22401	0	0	0	0	0
10021	Gm26173	'Gm26173	0	0	0	0	0
10022	Tbc1d4	'Tbc1d4	0	0	0	2.60261	0
10023	Uchl3	'Uchl3	60.9378	91.7511	67.8997	119.191	93.2695
10024	Lmo7	'Lmo7	0	0.0935114	0.0152297	0	0.303732
10025	Gm23764	'Gm23764	0	0	0	0	0
10026	Gm26778	'Gm26778	9.72469	7.78847	12.5888	0.200095	0.584636
10027	Irg1	'Irg1	0.892339	2.96221	9.94957	0	0.12091
10028	Cln5	'Cln5	11.9542	9.15741	6.93504	2.02031	7.4531
10029	Scel	'Scel	0	0	0	0	0
10030	Slain1	'Slain1	27.8118	34.1083	49.9606	27.4952	17.0308
10031	Gm22021	'Gm22021	0	0	0	0	0
10032	Gm24280	'Gm24280	0	0	0	0	0
10033	Gm22290	'Gm22290	0	0	0	0	0
10034	Ndfip2	'Ndfip2	19.5665	16.0394	25.7373	21.9652	9.88624
10035	4930449E01Rik	'4930449E01Rik	0	0	0	0	0
10036	Gm10076	'Gm10076	15.3328	23.8193	19.0989	36.235	42.2362
10037	Gm22406	'Gm22406	0	0	0	0	0
10038	Trim52	'Trim52	0	0	0	0	0
10039	Gm23437	'Gm23437	0	0	0	0	0
10040	Gm24818	'Gm24818	0	0	0	0	0
10041	Gm24229	'Gm24229	0	0	0	0	0
10042	Gm24369	'Gm24369	0	0	0	0	0
10043	n-R5s50	'n-R5s50	0	0	0	0	0
10044	Gm26255	'Gm26255	0	0	0	0	0
10045	Gm22802	'Gm22802	0	0	0	0	0
10046	Slitrk5	'Slitrk5	0	0	0	0	0
10047	Gm4822	'Gm4822	0	0	0	0	0
10048	Tpm3-rs7	'Tpm3-rs7	3.454	2.20375	3.76433	2.85302	1.80101
10049	Mir17,Mir17hg,Mir18,Mir19a,Mir19b-1,Mir20a,Mir92-1	'\Mir17,Mir17hg,Mir18,Mir19a,Mir19b-1,Mir20a,Mir92-1\	2.36958	1.43471	0	0	0.341291
10050	Gpc5	'Gpc5	0	0	0	0	0
10051	Gpc6	'Gpc6	0.157081	0.159516	0.164992	0.0377224	0.0312879
10052	Gm26773	'Gm26773	0	0	0	0.18664	0.0445989
10053	Gpr180	'Gpr180	3.0797	2.31403	1.81507	2.42183	2.59377
10054	Gm4675	'Gm4675	0	0.00888694	0	0	0
10055	mmu-mir-6241	'mmu-mir-6241	0	0	0	0	0
10056	Gm9376	'Gm9376	0	0	0	0	0
10057	Gm23669	'Gm23669	0	0	0	0	0
10058	Gm26791	'Gm26791	0	0	0	0	0
10059	Gm23302	'Gm23302	0	0	0	0	0
10060	Gm22379	'Gm22379	0	0	0	0	0
10061	Cldn10	'Cldn10	0.79935	1.57042	0.0550217	5.41412	3.65955
10062	Dnajc3	'Dnajc3	31.3592	25.2482	9.81083	31.5474	24.8591
10063	Gm16835	'Gm16835	0	0	0	0	0
10064	Hs6st3	'Hs6st3	0	0	0	0	0
10065	Mbnl2	'Mbnl2	11.3046	10.0407	11.5884	6.87909	7.85617
10066	Rap2a	'Rap2a	4.21748	2.15156	3.48076	0.118698	0.844786
10067	Gm17613	'Gm17613	0	0	0	0	0
10068	Gm25781	'Gm25781	0	0	0	0	0
10069	Ipo5	'Ipo5	9.03925	9.85057	10.2936	9.2736	13.1436
10070	Farp1	'Farp1	1.80628	2.18433	0.687887	0.382395	1.31755
10071	B930095G15Rik	'B930095G15Rik	7.6279	6.62819	2.3832	0	1.78582
10072	Ubac2	'Ubac2	15.1527	21.1358	21.7473	43.1797	42.8665
10073	Gpr18	'Gpr18	0.118487	4.29008	0	9.08362	3.41634
10074	Timm8a2	'Timm8a2	0	0	0	0	0
10075	Tm9sf2	'Tm9sf2	24.9633	18.1404	17.515	19.5812	23.6611
10076	Gm6254	'Gm6254	0.357201	0.408204	0.052572	0.104714	0.161817
10077	Gm17082	'Gm17082	0	0	0	0	0
10078	Clybl	'Clybl	7.73521	7.02803	8.76901	35.9039	20.2316
10079	Zic2	'Zic2	0	0	0	0	0
10080	Gm10837	'Gm10837	0	0	0	0	0
10081	Pcca	'Pcca	10.4212	10.8608	1.57273	11.6817	8.44898
10082	4930594M22Rik	'4930594M22Rik	0.0432616	0	0	0.0820894	0.230732
10083	Gm15735	'Gm15735	0.0417991	0	0	0	0
10084	Itgbl1	'Itgbl1	0	0	0	0	0
10085	Gm25272	'Gm25272	0	0	0	0	0
10086	Gm17615	'Gm17615	0.487599	0.395365	0.0683789	0.340538	0.304739
10087	Gm2904	'Gm2904	0	0	0	0	0
10088	Gm17051	'Gm17051	0	0	0	0	0
10089	Gm17221	'Gm17221	0	0	0	0	0
10090	Gm17188	'Gm17188	0	0	0	0	0
10091	Gm17222	'Gm17222	0	0	0	0	0.0393235
10092	Gm4904	'Gm4904	0	0	0	0	0
10093	Gm17223	'Gm17223	0	0	0	0	0
10094	Gm26817	'Gm26817	0	0	0	0	0
10095	Gm8323	'Gm8323	0	0	0	0	0
10096	Gm8324	'Gm8324	0	0	0	0	0
10097	Gm17107	'Gm17107	0	0	0	0	0
10098	Gm2866	'Gm2866	0	0	0	0	0
10099	Gm2877	'Gm2877	0	0	0	0	0
10100	Gm26886	'Gm26886	0	0	0	0	0
10101	Gm26570	'Gm26570	0	0	0	0	0
10102	Gm2907	'Gm2907	0	0	0	0	0
10103	Gm17129	'Gm17129	0	0	0	0	0
10104	Gm11107	'Gm11107	0	0	0	0	0
10105	Gm17152	'Gm17152	0	0	0	0	0
10106	Gm11105	'Gm11105	0	0	0	0	0
10107	Gm17086	'Gm17086	0	0	0	0	0
10108	Gm17170	'Gm17170	0	0	0	0	0
10109	Gm17074	'Gm17074	0	0	0	0	0
10110	Gm26655	'Gm26655	0	0.135411	0	0	0
10111	Gm8164	'Gm8164	0	0	0	0	0
10112	Gm17073	'Gm17073	0	0	0	0	0
10113	Gm3084	'Gm3084	0	0	0	0	0
10114	Gm3091	'Gm3091	0.0369059	0	0	0	0
10115	Gm26650	'Gm26650	0.0234649	0	0	0	0
10116	Gm8305	'Gm8305	0	0	0	0	0
10117	Gm17069	'Gm17069	0	0	0	0	0
10118	Gm26552	'Gm26552	0	0	0	0	0
10119	Gm3140	'Gm3140	0	0	0	0	0
10120	Gm3326	'Gm3326	0	0	0	0	0
10121	Gm3526	'Gm3526	0	0	0	0	0.0843565
10122	Gm3339	'Gm3339	0	0	0	0	0
10123	Gm3542	'Gm3542	0	0	0	0	0
10124	Gm3500	'Gm3500	0	0	0	0	0.00748388
10125	Gm3194	'Gm3194	0	0	0	0	0
10126	Gm8246	'Gm8246	0	0	0	0	0
10127	Gm26893	'Gm26893	0	0	0	0	0
10128	Gm26746	'Gm26746	0	0	0	0	0
10129	Gm8266	'Gm8266	0	0	0	0	0
10130	Gm3383	'Gm3383	0	0	0	0	0.0230063
10131	Gm3344	'Gm3344	0	0	0	0	0
10132	Gm8265	'Gm8265	0	0	0	0	0
10133	Gm9603	'Gm9603	0	0	0	0	0
10134	Gm3373	'Gm3373	0	0	0	0	0.00748388
10135	Gm3424	'Gm3424	0	0	0	0	0
10136	Gm8237	'Gm8237	0	0	0	0	0.0638617
10137	Gm3242	'Gm3242	0	0	0	0	0
10138	Gm3248	'Gm3248	0	0.374998	0	0	0.00708769
10139	Gm3453	'Gm3453	0	0	0	0	0
10140	Gm3411,Gm3468,Gm8206	'\Gm3411,Gm3468,Gm8206\	0.0237323	0.0151112	0	0	0.357297
10141	Gm6337	'Gm6337	0	0	0	0	0.0317187
10142	Gm3476	'Gm3476	0	0	0	0	0
10143	Gm26991	'Gm26991	0	0	0	0	0
10144	Gm21560	'Gm21560	0	0	0	0	0
10145	Gm21103	'Gm21103	0	0	0	0	0
10146	Gm3618	'Gm3618	0	0	0	0	0
10147	Gm16440	'Gm16440	0	0	0	0	0
10148	Gm3591	'Gm3591	0	0	0	0	0
10149	Gm3594	'Gm3594	0	0	0	0	0
10150	Gm8356	'Gm8356	0	0	0	0	0
10151	Gm3629,Gm3636,Gm3667	'\Gm3629,Gm3636,Gm3667\	0	0.265164	0	0.250211	0.321387
10152	Gm3460	'Gm3460	0	0	0	0	0
10153	Gm10251	'Gm10251	0	0	0	0	0
10154	Gm8050	'Gm8050	0	0	0	0	0.130539
10155	Gm8362	'Gm8362	0	0	0	0	0
10156	Gm3642	'Gm3642	0	0	0	0	0
10157	Gm6356	'Gm6356	0	0	0	0	0
10158	Gm10406	'Gm10406	0	0.246127	0	0	0
10159	Gm3685	'Gm3685	0	0	0	0	0
10160	Gm3696	'Gm3696	0	0	0	0	0.0811538
10161	Gm6676	'Gm6676	0	0	0	0	0
10162	Gm3512	'Gm3512	0	0.0801902	0	0	0.142181
10163	Gm16434	'Gm16434	0	0	0	0	0
10164	Gm3715	'Gm3715	0	0	0	0	0.148448
10165	Gm3727	'Gm3727	0	0	0	0	0
10166	Gm3739	'Gm3739	0	0.0146652	0	0.051911	0.572788
10167	Gm5797	'Gm5797	0	0	0	0	0
10168	Gm8374	'Gm8374	0	0	0	0	0
10169	Gm10339	'Gm10339	0	0	0	0	0
10170	Gm3755	'Gm3755	0.123627	0.224395	0.0738633	0.134386	0.257481
10171	Gm3752	'Gm3752	0	0	0	0	0
10172	Gm3760	'Gm3760	0	0	0	0	0
10173	Gm3558	'Gm3558	0	0	0	0	0.155807
10174	Gm10338	'Gm10338	0	0	0	0	0
10175	Gm10128	'Gm10128	0	0	0	0	0
10176	Gm10044	'Gm10044	0.895056	3.61021	0.551368	6.01901	3.48353
10177	Flnb	'Flnb	0.0541003	0.108534	3.05529	0	0
10178	Dnase1l3	'Dnase1l3	0.800862	5.11189	2.30662	0.604795	3.38401
10179	Pdhb	'Pdhb	79.2248	77.5318	76.6184	99.9202	76.4345
10180	Acox2	'Acox2	0	0	0	0	0
10181	Fam107a	'Fam107a	0	0	0	0	0
10182	Oit1	'Oit1	0	0	0	0	0.0977693
10183	4930452B06Rik	'4930452B06Rik	0	0	0	0	0.500523
10184	Gm9800	'Gm9800	29.3147	31.7829	40.0018	22.4215	28.8639
10185	Fhit	'Fhit	2.72323	8.60496	0	2.46063	12.5566
10186	Gm3839	'Gm3839	2.8298	3.57342	3.72198	1.50365	2.98891
10187	Gm3848	'Gm3848	0	0	0	0	0
10188	Gm24578	'Gm24578	0	0	0	0	0
10189	Fezf2	'Fezf2	0	0	0	0	0
10190	Cadps	'Cadps	0	0	0	0	0
10191	n-R5s45	'n-R5s45	0	0	0	0	0
10192	Gm5087	'Gm5087	0	0	0	0	0
10193	Gm15913	'Gm15913	0	0	0	0	0
10194	Rpl19-ps4	'Rpl19-ps4	0	0	0.203458	0.228432	0.0850508
10195	Gm281	'Gm281	0	0	0	0	0
10196	Thoc7	'Thoc7	70.1268	93.804	140.28	141.395	130.976
10197	Psmd6	'Psmd6	87.0241	87.2992	140.895	57.9267	59.6646
10198	Olfr720	'Olfr720	0	0	0	0	0
10199	Lrrc3b	'Lrrc3b	0	0	0	0.0168115	0
10200	Oxsm	'Oxsm	0.88577	0.962742	0.443663	4.39999	4.77259
10201	Rarb	'Rarb	0.325978	0.0568107	1.30989	0.0296566	0.280289
10202	Gm24140	'Gm24140	0	0	0	0	0
10203	Thrb	'Thrb	3.93393	3.73732	0	2.82759	0.821288
10204	Gm6773	'Gm6773	0	0	0	0	0
10205	Nr1d2	'Nr1d2	20.3025	7.50269	19.2016	2.53054	3.70776
10206	Rpl15	'Rpl15	892.383	1289.74	1253.77	2086.87	1570.79
10207	Ube2e1	'Ube2e1	36.642	34.5571	63.7476	33.012	44.4951
10208	Ube2e2	'Ube2e2	0.376589	0.0931265	0	0.384072	0.546498
10209	Gm20678	'Gm20678	4.1975	3.85865	1.45257	2.51572	2.14294
10210	Gm20699	'Gm20699	0	0	0	0	0
10211	Gm9637	'Gm9637	0	0	0	0	0
10212	Gm21738	'Gm21738	0.101877	0.362796	0.362715	0.0396905	0.175811
10213	Gm2244	'Gm2244	0.0107553	0	0	0.0336679	0.0601745
10214	Gm2237	'Gm2237	0.0276529	0.0610524	0	0	0.42992
10215	Gm5458	'Gm5458	0	0	0	0	0
10216	Gm17030	'Gm17030	0	0	0	0	0
10217	2700060E02Rik	'2700060E02Rik	100.524	106.424	144.275	114.179	73.9901
10218	Gng2	'Gng2	150.415	167.013	278.083	27.711	73.9113
10219	Saysd1	'Saysd1	8.95324	8.53928	5.16147	23.6816	13.0411
10220	Kcnk5	'Kcnk5	6.61171	5.419	0.423584	0	2.06453
10221	Gm24912	'Gm24912	0	0	0	0	0
10222	Kcnk16	'Kcnk16	0	0	0	0	0
10223	Ecd	'Ecd	15.652	24.7098	7.00021	13.9444	16.2467
10224	Fam149b	'Fam149b	0.947326	1.92308	1.53312	2.85898	3.49917
10225	Dnajc9	'Dnajc9	59.5939	53.9573	78.6662	55.5182	50.2672
10226	Mrps16	'Mrps16	98.2414	168.758	170.512	228.641	256.596
10227	Ttc18	'Ttc18	0	0	0	0	0.511449
10228	Anxa7	'Anxa7	25.1161	19.4448	23.1964	13.0942	19.58
10229	Mss51	'Mss51	0.119502	0.0812621	0	0.12612	0.169027
10230	Ppp3cb	'Ppp3cb	10.7262	16.0327	18.6908	18.0736	14.8154
10231	Usp54	'Usp54	0.38575	1.48133	0.0267152	0.223525	0.50781
10232	Myoz1	'Myoz1	0	0	0	0	0
10233	Synpo2l	'Synpo2l	0	0	0	0	0
10234	6230400D17Rik	'6230400D17Rik	1.49592	2.89331	1.20784	4.64423	2.63308
10235	Ndst2	'Ndst2	1.48436	0.805763	0.107452	2.17339	3.81171
10236	Camk2g	'Camk2g	5.1356	5.77767	7.71752	3.56051	3.88395
10237	Ap3m1	'Ap3m1	6.19637	10.9894	6.78446	11.808	8.82668
10238	Dupd1	'Dupd1	0	0	0	0	0
10239	Dusp13	'Dusp13	0	0	0	0	0
10240	Comtd1	'Comtd1	14.74	18.223	5.02891	12.8822	6.43475
10241	Zfp503	'Zfp503	0.0843935	0.0134447	0.095352	0	0.00661646
10242	AC129590.1	'AC129590.1	0	0	0	0	0
10243	Gm5670	'Gm5670	0	0	0	0	0
10244	Gm10248	'Gm10248	0	0	0	0	0
10245	Kcnma1	'Kcnma1	0	0	0	0	0
10246	A830039N20Rik	'A830039N20Rik	0	0	0	0	0
10247	Dlg5	'Dlg5	0	0	0	0	0.0021696
10248	Gm17105	'Gm17105	0	0	0	0	0
10249	Polr3a	'Polr3a	1.6397	1.96318	1.04692	1.27742	3.23221
10250	4930542C16Rik	'4930542C16Rik	0	0	0	0	0
10251	Gm26660	'Gm26660	0.00893152	0.0114085	0	0	0.0112651
10252	Zmiz1os1	'Zmiz1os1	0.0867029	0.181017	0	0	0
10253	Gm26772	'Gm26772	2.01699	0.55808	0.856577	1.38494	1.01394
10254	Zcchc24	'Zcchc24	0.496408	0.111546	0.718401	0.830449	0.188907
10255	RP24-530J21.1	'RP24-530J21.1	0	0	0	0	0
10256	Gm23701	'Gm23701	0	0	0	0	0
10257	RP24-530J21.3	'RP24-530J21.3	0.399302	0.43817	1.78856	0.0482673	0.0984046
10258	Plac9a	'Plac9a	0	0	0	0	0
10259	Tmem254a	'Tmem254a	0	0	0	0	0
10260	RP24-235I1.3	'RP24-235I1.3	0	0	0	0	0
10261	Gm9780	'Gm9780	0	0	0	0	0
10262	Tmem254c	'Tmem254c	0	0.168997	0	0	0
10263	RP23-93L3.3	'RP23-93L3.3	0	0	0	0	0
10264	Plac9b	'Plac9b	0	0.453755	0	0	0
10265	Tmem254b	'Tmem254b	0	0	0	0	0
10266	RP23-100J17.8	'RP23-100J17.8	0	0	0	0	0
10267	Gm16245	'Gm16245	0.349611	0.229107	0.260323	0.207618	0.561581
10268	4933413J09Rik	'4933413J09Rik	0.7043	0.241539	0	0	0
10269	Slmap	'Slmap	6.66137	6.7006	6.75924	8.45334	4.43819
10270	Dennd6a	'Dennd6a	0.027091	0	0	0.296522	0
10271	4930570N19Rik	'4930570N19Rik	0	0	0	0	0.769136
10272	Pde12,mmu-mir-7672	'\Pde12,mmu-mir-7672\	4.57627	4.23561	2.81249	2.25034	1.87871
10273	Dnah12	'Dnah12	0.844596	1.59489	9.79888	0	0
10274	Appl1	'Appl1	14.8005	23.647	8.92129	17.6537	13.4409
10275	Gm23633	'Gm23633	0.255285	0.0593735	0	0	0.252438
10276	Ccdc66	'Ccdc66	2.14306	3.71857	1.27222	4.08159	1.60199
10277	Gm25697	'Gm25697	0	0	0	0	0
10278	Gm2670	'Gm2670	0	0	0	0	0
10279	Cacna2d3	'Cacna2d3	0	0.038563	0	0	0
10280	Gm23999	'Gm23999	0	0	0	0	0
10281	Il17rb	'Il17rb	0.207918	0.839286	0.0253493	0.551497	1.85603
10282	Cacna1d	'Cacna1d	0.0518638	0.189827	0.0113555	0.140579	0.665295
10283	Prkcd	'Prkcd	13.9621	16.0232	19.9836	6.90998	14.5465
10284	1700087M22Rik	'1700087M22Rik	0	0	0	0	0
10285	Itih3	'Itih3	0	0	0	0	0
10286	Itih1	'Itih1	0	0	0	0	0
10287	Spcs1	'Spcs1	325.361	376.605	621.205	383.089	512.574
10288	Gnl3	'Gnl3	14.0617	18.5924	18.0863	22.7245	16.4628
10289	Snord69	'Snord69	0	0	0	0	0
10290	Gm24916	'Gm24916	0	0	0	0	0
10291	Snord19	'Snord19	0	0	0	0	0
10292	Gm5459	'Gm5459	0.349181	0.0821197	0	0.0313308	0.351325
10293	Smim4	'Smim4	65.396	80.1386	79.8823	149.417	140.019
10294	Stab1	'Stab1	0.496614	0.203434	1.84093	0.00938404	0.0136764
10295	Nisch	'Nisch	18.9356	16.3514	21.5063	22.4199	15.7467
10296	Phf7	'Phf7	0.708431	3.04907	2.95091	2.07494	2.80941
10297	Dnah1	'Dnah1	0	0.00151498	0	0	0.00421478
10298	Sh3bp5	'Sh3bp5	3.05489	5.97638	6.00327	13.455	17.1839
10299	Mettl6	'Mettl6	7.61226	8.20404	7.07285	11.4528	9.42473
10300	Colq,Hacl1	'\Colq,Hacl1\	4.03966	6.37355	0.335712	11.5494	5.0184
10301	Gm24057	'Gm24057	0	0	0	0	0
10302	Ankrd28	'Ankrd28	1.45199	1.0819	0.454841	1.41046	1.35386
10303	Gm22876	'Gm22876	0	0	0	0	0
10304	Dph3	'Dph3	102.47	115.518	160.345	31.9857	58.9266
10305	Gm23946,Timm23	'\Gm23946,Timm23\	265.244	200.11	381.695	165.285	136.056
10306	Parg	'Parg	0.592978	0.0199514	0	0.68606	0.0230838
10307	Parg	'Parg	0.00464117	0	1.56355	0.00906757	0.841218
10308	Gm7707	'Gm7707	0.0122819	0	0	0	0
10309	Gm17210	'Gm17210	0.556353	1.76803	0.127218	1.43879	0.582291
10310	1700024G13Rik	'1700024G13Rik	0	0	0	0	0
10311	Chat	'Chat	0	0	0	0	0
10312	3425401B19Rik	'3425401B19Rik	0	0	0	0	0.0597139
10313	Wdfy4	'Wdfy4	3.45303	7.07954	5.78109	0.00254883	11.2396
10314	Gm15512	'Gm15512	0.252602	0.0285696	0	0.238198	0.180961
10315	Mapk8	'Mapk8	4.17955	2.93569	4.29762	4.68777	2.84775
10316	Zfp488	'Zfp488	1.05729	0.780821	1.38828	0.609293	1.29814
10317	A630023A22Rik	'A630023A22Rik	0	0	0	0	0
10318	Npy4r	'Npy4r	0	0	0	0	0
10319	Gprin2	'Gprin2	0	0	0	0	0
10320	Fam35a	'Fam35a	1.15211	0.591987	0.208963	0.869601	1.92837
10321	Fam25c	'Fam25c	0	0	0	0	0
10322	Sncg	'Sncg	0	0	0	0	0
10323	Bmpr1a	'Bmpr1a	0.113886	0.0101802	0.83532	0.0075294	0.342071
10324	9230112D13Rik	'9230112D13Rik	0	0	0	0	0
10325	Ldb3	'Ldb3	0	0.180008	0	0	0
10326	Opn4	'Opn4	0	0	0	0	0
10327	4930596D02Rik	'4930596D02Rik	0	0	0	0	0
10328	Gm7853	'Gm7853	0	0	0	0	0
10329	n-R5s46	'n-R5s46	0	0	0	0	0
10330	Ccser2	'Ccser2	5.83975	5.9661	13.8304	12.5466	7.55953
10331	Rgr	'Rgr	0	0	0	0	0
10332	Cdhr1	'Cdhr1	0	0	0	0	0
10333	2610528A11Rik	'2610528A11Rik	0	0	0	0	0
10334	Ghitm	'Ghitm	190.419	164.583	197.764	92.0078	106.782
10335	Gm23909	'Gm23909	0	0	0	0	0
10336	Gm24404	'Gm24404	0	0	0	0	0
10337	Nrg3	'Nrg3	0	0	0	0	0
10338	CT025583.1	'CT025583.1	0	0	0	0	0
10339	Gm22191	'Gm22191	0	0	0	0	0
10340	Gm22726	'Gm22726	0	0	0	0	0
10341	Sh2d4b	'Sh2d4b	0.23553	0	0	0.691415	0.0698351
10342	Tspan14	'Tspan14	43.1057	39.1138	23.2596	52.1757	38.2287
10343	Fam213a	'Fam213a	7.99706	12.8872	6.73001	3.97564	9.87209
10344	Dydc2	'Dydc2	0	0	0	0	0
10345	Sftpd	'Sftpd	1.93855	0	0	0	0
10346	Gm7925	'Gm7925	0	0	0	0	0
10347	Gm9671	'Gm9671	0	0	0	0	0
10348	Gm2855	'Gm2855	0	0	0	0	0
10349	Gm7945	'Gm7945	0	0	0	0	0
10350	Gm6482	'Gm6482	0	0	0	0	0
10351	Gm7953	'Gm7953	0	0	0	0	0
10352	Gm7954	'Gm7954	0	0	0	0	0
